time_ms,raw,filtered
2.151900000000000000e+04,-1.154988000000000000e+06,-1.155695250000000000e+06
2.153100000000000000e+04,-1.156641000000000000e+06,-1.155789750000000000e+06
2.154200000000000000e+04,-1.156602000000000000e+06,-1.155871000000000000e+06
2.155300000000000000e+04,-1.156158000000000000e+06,-1.155899620000000112e+06
2.156500000000000000e+04,-1.157938000000000000e+06,-1.156103379999999888e+06
2.157600000000000000e+04,-1.157181000000000000e+06,-1.156211120000000112e+06
2.158700000000000000e+04,-1.155284000000000000e+06,-1.156118379999999888e+06
2.159900000000000000e+04,-1.157534000000000000e+06,-1.156259879999999888e+06
2.161000000000000000e+04,-1.157723000000000000e+06,-1.156406120000000112e+06
2.162100000000000000e+04,-1.155696000000000000e+06,-1.156335120000000112e+06
2.163300000000000000e+04,-1.157080000000000000e+06,-1.156409500000000000e+06
2.164400000000000000e+04,-1.157688000000000000e+06,-1.156537250000000000e+06
2.165500000000000000e+04,-1.156254000000000000e+06,-1.156508879999999888e+06
2.166600000000000000e+04,-1.157135000000000000e+06,-1.156571500000000000e+06
2.167800000000000000e+04,-1.157770000000000000e+06,-1.156691250000000000e+06
2.168900000000000000e+04,-1.155982000000000000e+06,-1.156620379999999888e+06
2.170000000000000000e+04,-1.156675000000000000e+06,-1.156625750000000000e+06
2.171200000000000000e+04,-1.158217000000000000e+06,-1.156784879999999888e+06
2.172300000000000000e+04,-1.156615000000000000e+06,-1.156767879999999888e+06
2.173400000000000000e+04,-1.156892000000000000e+06,-1.156780250000000000e+06
2.174600000000000000e+04,-1.158860000000000000e+06,-1.156988250000000000e+06
2.175700000000000000e+04,-1.157234000000000000e+06,-1.157012750000000000e+06
2.176800000000000000e+04,-1.156986000000000000e+06,-1.157010000000000000e+06
2.178000000000000000e+04,-1.159037000000000000e+06,-1.157212750000000000e+06
2.179100000000000000e+04,-1.157892000000000000e+06,-1.157280620000000112e+06
2.180200000000000000e+04,-1.157143000000000000e+06,-1.157266879999999888e+06
2.181300000000000000e+04,-1.158718000000000000e+06,-1.157412000000000000e+06
2.182500000000000000e+04,-1.157617000000000000e+06,-1.157432500000000000e+06
2.183600000000000000e+04,-1.156462000000000000e+06,-1.157335500000000000e+06
2.184700000000000000e+04,-1.158508000000000000e+06,-1.157452750000000000e+06
2.185900000000000000e+04,-1.157821000000000000e+06,-1.157489500000000000e+06
2.187000000000000000e+04,-1.156550000000000000e+06,-1.157395500000000000e+06
2.188100000000000000e+04,-1.158874000000000000e+06,-1.157543379999999888e+06
2.189300000000000000e+04,-1.158897000000000000e+06,-1.157678750000000000e+06
2.190400000000000000e+04,-1.157326000000000000e+06,-1.157643500000000000e+06
2.191500000000000000e+04,-1.158682000000000000e+06,-1.157747379999999888e+06
2.192700000000000000e+04,-1.158764000000000000e+06,-1.157849000000000000e+06
2.193800000000000000e+04,-1.157105000000000000e+06,-1.157774500000000000e+06
2.194900000000000000e+04,-1.158760000000000000e+06,-1.157873000000000000e+06
2.196000000000000000e+04,-1.159259000000000000e+06,-1.158011620000000112e+06
2.197200000000000000e+04,-1.157296000000000000e+06,-1.157940000000000000e+06
2.198300000000000000e+04,-1.158987000000000000e+06,-1.158044750000000000e+06
2.199400000000000000e+04,-1.159940000000000000e+06,-1.158234250000000000e+06
2.200600000000000000e+04,-1.157607000000000000e+06,-1.158171500000000000e+06
2.201700000000000000e+04,-1.158885000000000000e+06,-1.158242750000000000e+06
2.202800000000000000e+04,-1.160088000000000000e+06,-1.158427250000000000e+06
2.204000000000000000e+04,-1.157685000000000000e+06,-1.158353000000000000e+06
2.205100000000000000e+04,-1.158140000000000000e+06,-1.158331750000000000e+06
2.206200000000000000e+04,-1.159847000000000000e+06,-1.158483250000000000e+06
2.207400000000000000e+04,-1.158043000000000000e+06,-1.158439120000000112e+06
2.208500000000000000e+04,-1.157706000000000000e+06,-1.158365750000000000e+06
2.209600000000000000e+04,-1.160092000000000000e+06,-1.158538379999999888e+06
2.210800000000000000e+04,-1.158841000000000000e+06,-1.158568620000000112e+06
2.211900000000000000e+04,-1.157991000000000000e+06,-1.158510879999999888e+06
2.213000000000000000e+04,-1.159664000000000000e+06,-1.158626120000000112e+06
2.214100000000000000e+04,-1.159891000000000000e+06,-1.158752620000000112e+06
2.215300000000000000e+04,-1.158361000000000000e+06,-1.158713379999999888e+06
2.216400000000000000e+04,-1.159316000000000000e+06,-1.158773620000000112e+06
2.217500000000000000e+04,-1.159147000000000000e+06,-1.158811000000000000e+06
2.218700000000000000e+04,-1.158098000000000000e+06,-1.158739620000000112e+06
2.219800000000000000e+04,-1.159788000000000000e+06,-1.158844379999999888e+06
2.220900000000000000e+04,-1.160023000000000000e+06,-1.158962250000000000e+06
2.222100000000000000e+04,-1.158859000000000000e+06,-1.158951879999999888e+06
2.223200000000000000e+04,-1.159108000000000000e+06,-1.158967500000000000e+06
2.224300000000000000e+04,-1.159568000000000000e+06,-1.159027500000000000e+06
2.225500000000000000e+04,-1.158930000000000000e+06,-1.159017750000000000e+06
2.226600000000000000e+04,-1.159698000000000000e+06,-1.159085750000000000e+06
2.227700000000000000e+04,-1.159937000000000000e+06,-1.159170879999999888e+06
